row_index,location_long,location_short,longitude,latitude,lga_code
0,"Scoresby Road at the intersection of Scoresby Road and Mountain Highway, Bayswater",Bayswater,145.2710514,-37.83890391,23670
1,"Blackshaws Road at the intersection of Blackshaws Road and Millers Road, Altona North",Altona North,144.8480751,-37.83118674,23110
2,"Warrigal Road at the intersection of Warrigal Road and Centre Dandenong Road, Cheltenham",Cheltenham,145.0742497,-37.96751724,23430
3,"Western Ring Road, Northbound Keilor Park Drive Bridge, Keilor East",Western Ring Road Keilor East,144.850992,-37.73826007,21180
4,"Western Ring Road, Northbound Western Highway Off Ramp / South Side Gantry, Deer Park",Western Ring Road Deer Park,144.7938475,-37.77496138,21180
5,"Johnston Street at the intersection of Johnston Street and Wellington Street, Collingwood",Collingwood,144.9872012,-37.79924925,27350
6,"Hume Freeway, Southbound 65m south of Amaroo Road, Craigieburn",Hume Freeway Craigieburn,144.9444133,-37.5844842,23270
7,"Bell Street at the intersection of Bell Street and Gilbert Road, Preston",Preston,144.989013,-37.743722,21890
8,"Gilbert Road at the intersection of Gilbert Road and Murray Road, Preston",Preston,144.990488,-37.736385,21890
9,"Harding Street at the intersection of Harding Street and Sydney Road, Coburg",Coburg,144.9660762,-37.7450543,25250
10,"Western Ring Road, Southbound, Fullarton Road Bridge, Keilor Park",Western Ring Road Keilor Park,144.862085,-37.726065,21180
11,"Bayswater Road at the intersection of Bayswater Road and Mountain Highway, Bayswater",Bayswater,145.270876,-37.839157,23670
12,Nicholson Street,East Melbourne,144.9728528,-37.80940252,24600
13,"High Street at the intersection of High Street and Stephensons Road, Mount Waverley",Mount Waverley,145.13036,-37.870178,24970
14,"Blackburn Road at the intersection of Blackburn Road and High Street, Mount Waverley",Mount Waverley,145.148599,-37.871932,24970
15,"Blackburn Road at the intersection of Blackburn Road and Monash Freeway, Mount Waverley",Mount Waverley,145.144018,-37.895404,24970
16,"Church Street at the intersection of Church Street and Shannon Avenue, Geelong West",Geelong West,144.338537,-38.130666,22750
17,"Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett",Highett,145.045999,-37.948766,23430
18,"Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett",Highett,145.046173,-37.949365,23430
19,"Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield North",Caulfield North,145.01657,-37.879291,22310
20,"Glen Eira Road at the intersection of Glen Eira Road and Hotham Street, StKilda East",St Kilda East,144.998245,-37.877038,22310
21,"Bay Street at the intersection of Bay Street and St Kilda Street, Brighton",Brighton,144.988697,-37.903938,20910
22,"Monash Freeway, Northbound approximately 290m south of High Street, Glen Iris",Glen Iris,145.060078,-37.862776,26350
23,"Glenferrie Road at the intersection of Glenferrie Road and Wellington Street, Kew",Kew,145.037599,-37.810199,21110
24,"Charles Street at the intersection of Charles Street and Cotham Road, Kew",Kew,145.035324,-37.80747,21110
25,"Chandler Highway at the intersection of Chandler Highway and Eastern Freeway, Kew",Kew,145.027546,-37.790676,21110
26,"Manningham Road at the intersection of Manningham Road and Macedon Road, Templestowe Lower",Templestowe Lower,145.112046,-37.77336494,24210
27,"Balwyn Road at the intersection of Balwyn Road and Whitehorse Road, Balwyn",Balwyn,145.081179,-37.812988,21110
28,"Canterbury Road at the intersection of Canterbury Road and Warrigal Road, Surrey Hills",Surrey Hills,145.099643,-37.826116,26980
29,"Kooyong Road at the intersection of Kooyong Road and Malvern Road, Armadale",Armadale,145.021183,-37.850696,26350
30,"Centre Road at the intersection of Centre Road and Huntingdale Road, Oakleigh South",Oakleigh South,145.1004481,-37.92622865,24970
31,"Ferntree Gully Road at the intersection of Ferntree Gully Road and Clayton Road, Oakleigh",Oakleigh,145.124202,-37.899138,24970
32,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.118008,-38.251999,25340
33,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.129019,-38.216785,25340
34,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston",Peninsula Link Frankston,145.172941,-38.141498,22170
35,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston",Peninsula Link Frankston,145.173233,-38.141188,22170
36,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.106524,-38.263141,25340
37,"Burwood Highway at the intersection of Burwood Highway and Blackburn Road, Burwood East",Burwood East,145.152279,-37.852713,26980
38,"Warrigal Road at the intersection of Warrigal Road and Highbury Road, Burwood",Burwood,145.095255,-37.853136,26980
39,"Lightwood Road at the intersection of Lightwood Road and Corrigan Road, Noble Park",Noble Park,145.1689625,-37.96154235,22670
40,"At the intersection of McIvor Road and Reservoir Road, Strathdale",Strathdale,144.317646,-36.759624,22620
41,"Swan Street at the intersection of Swan Street and Batman Avenue, Melbourne",Melbourne,144.9788582,-37.8234052,24600
42,"St Kilda Road at the intersection of St Kilda Road and Kings Way, Melbourne",Melbourne,144.9755591,-37.83645729,25900
43,"William Street at the intersection of William Street and Flinders Street, Melbourne",Melbourne,144.9601076,-37.81978269,24600
44,"Johnston Street at the intersection of Johnston Street and Hoddle Street, Collingwood",Collingwood,144.992622,-37.799731,27350
45,"Epsom Road at the intersection of Epsom Road and Smithfield Road, Kensington",Kensington,144.9228403,-37.78903312,24600
46,"Royal Parade at the intersection of Royal Parade and Cemetery Road West, Carlton North",Carlton North,144.958978,-37.78976,24600
47,"St Georges Road at the intersection of St Georges Road and Normanby Avenue, Thornbury",Thornbury,144.993535,-37.758518,21890
48,"Melville Road at the intersection of Melville Road and Albion Street, Brunswick West",Brunswick West,144.945006,-37.758461,25250
49,"Nicholson Street at the intersection of Nicholson Street and Glenlyon Road, Brunswick",Brunswick,144.979309,-37.773259,25250
50,"Nepean Highway at the intersection of Nepean Highway and Centre Road, Brighton East",Brighton East,145.018179,-37.916187,20910
51,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Glen Waverley",Glen Waverley,145.146067,-37.886853,24970
52,"Springvale Road at the intersection of Springvale Road and High Street Road, Glen Waverley",Glen Waverley,145.1669025,-37.87423093,24970
53,"Settlement Road  at the intersection of Settlement Road and Torquay Road, Belmont",Belmont,144.344462,-38.18229,22750
54,"Balaclava Road at the intersection of Balaclava Road and Kooyong Road, Caulfield North",Caulfield North,145.017933,-37.871915,22310
55,"Victoria Street at the intersection of Victoria Street and Swanston Street, Carlton",Carlton,144.962705,-37.806577,24600
56,"Heidelberg Road at the intersection of Heidelberg Road and Station Street, Fairfield",Fairfield,145.017761,-37.783452,27350
57,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone",Chadstone,145.091597,-37.875268,26350
58,"Myrtle Street at the intersection of Myrtle Street and High Street, Bendigo",Bendigo,144.270777,-36.76367,22620
59,"Wellington Road at the intersection of Wellington Road and Blackburn Road, Clayton",Clayton,145.139705,-37.916178,24970
60,"Toorak Road at the intersection of Toorak Road and Burke Road, Camberwell",Camberwell,145.054325,-37.8458,21110
61,"Shannon Avenue at the intersection of Shannon Avenue and Aphrasia Street, Newtown",Newtown,144.334557,-38.150047,22750
62,"Nepean Highway at the intersection of Nepean Highway and Davey Street, Frankston",Frankston,145.1198418,-38.14538394,22170
63,"Gaffney Street at the intersection of Gaffney Street and Sydney Road, Coburg",Coburg,144.965533,-37.73403465,25250
64,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone",Chadstone,145.0916854,-37.87535305,24970
65,"Raglan Parade at the intersection of Raglan Parade and Mahoneys Road, Warrnambool",Warrnambool,142.5330162,-38.38484541,26730
66,"Sussex Street at the intersection of Sussex Street and O'Hea Street, Pascoe Vale South",Pascoe Vale South,144.9489999,-37.73610921,25250
67,"Princes Highway at the intersection of Princes Highway and Huntingdale Road, Oakleigh East",Oakleigh East,145.1052426,-37.90058149,24970
68,"Princes Highway at the intersection of Princes Highway and Elonera Road, Noble Park North",Noble Park North,145.18843,-37.96148102,22670
69,"Princes Freeway, Avalon Road Bridge, Melbourne Bound, Lara",Princes Freeway Lara,144.4304109,-38.0304054,22750
70,"Princes Street at the intersection of Princes Street and Rathdowne Street, Carlton",Carlton,144.9715264,-37.79264708,24600
71,"Princes Freeway, Forsyth Road Bridge, Melbourne Bound, Williams Landing",Princes Freeway Williams Landing,144.7369149,-37.87328452,27260
72,"Nepean Highway at the intersection of Nepean Highway and Bungower Road, Mornington",Mornington,145.0568837,-38.22026231,25340
73,"Princes Freeway, Avalon Road Bridge, Geelong Bound, Avalon",Princes Freeway Avalon,144.4308186,-38.03059977,22750
74,"Hume Freeway, Southbound Mount Fraser, Beveridge",Hume Freeway Beveridge,144.9724638,-37.46042015,24850
75,"Hume Highway at the intersection of Hume Highway and Somerton Road, Campbellfield",Campbellfield,144.951269,-37.64359294,23270
76,"Alexandra Parade at the intersection of Alexandra Parade and Brunswick Street, Fitzroy",Fitzroy,144.9794456,-37.79340377,27350
77,"Hume Freeway, Southbound Station Street, Wallan East",Hume Freeway Wallan East,145.0054657,-37.41070269,24850
78,"Hume Freeway, Northbound Mount Fraser, Beveridge",Hume Freeway Beveridge,144.9721742,-37.46027963,24850
79,"West Gate Freeway, Millers Road Gantry, Geelong (West) Bound, Altona North",West Gate Freeway Altona North,144.8534247,-37.82477704,23110
80,"West Gate Freeway, Grieve Parade Bridge, Melbourne Bound, Altona North",West Gate Freeway Altona North,144.8295987,-37.82549738,23110
81,"Monash Freeway, Southbound approximately 470m south of High Street, Glen Iris",Glen Iris,145.060628,-37.864172,26350
82,"Duke Street at the intersection of Duke Street and Ballarat Road, Braybrook",Braybrook,144.8472396,-37.7788919,24330
83,"St Kilda Road at the intersection of St Kilda Road and Fitzroy Street, St Kilda",St Kilda,144.982675,-37.85696714,25900
84,"Highbury Road at the intersection of Highbury Road and Huntingdale Road, Mount Waverley",Mount Waverley,145.113878,-37.85547519,26980
85,"Denmark Street at the intersection of Denmark Street and High Street South, Kew",Kew,145.0288318,-37.80775491,21110
86,"Mt Dandenong Road at the intersection of Mt Dandenong Road and Dorset Road, Croydon",Croydon,145.2900723,-37.79981407,24410
87,"Hoddle Street at the intersection of Hoddle Street and Johnston Street, Collingwood",Collingwood,144.9929358,-37.79999103,27350
88,"Hoddle Street at the intersection of Hoddle Street and Wellington Parade, East Melbourne",East Melbourne,144.9898607,-37.81765168,24600
89,"St Georges Road at the intersection of St Georges Road and Normanby Avenue, Thornbury",Thornbury,144.9931008,-37.75888943,21890
90,"Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Doveton",Doveton,145.2367714,-37.97254228,21610
91,"Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Endeavour Hills",Endeavour Hills,145.2381018,-37.97252537,21610
92,"Wells Road at the intersection of Wells Road and Palm Grove Boulevard, Aspendale Gardens",Aspendale Gardens,145.118471,-38.019049,23430
93,"Wells Road at the intersection of Wells Road and Nurten Parade, Aspendale Gardens",Aspendale Gardens,145.124242,-38.022193,23430
94,"Princes Highway at the intersection of Princes Highway and Sparks Road, Norlane",Norlane,144.3563309,-38.09161737,22750
95,"Frankston Freeway off ramp at the intersection of Frankston Freeway off ramp and Dandenong-Frankston Road, Seaford",Seaford,145.1339489,-38.12833579,22170
96,"Canterbury Road at the intersection of Canterbury Road and Bayswater Road, Bayswater North",Bayswater North,145.2691148,-37.83227456,24410
97,"Hume Freeway, Northbound 101m south of Broadford-Flowerdale Road, Broadford",Hume Freeway Broadford,145.0684816,-37.20735864,24850
98,"Hume Freeway, Southbound 109m south of Broadford-Flowerdale Road, Broadford",Hume Freeway Broadford,145.0686479,-37.20780298,24850
99,"Princes Freeway, Point Wilson Road Bridge, Geelong Bound, Point Wilson",Princes Freeway Point Wilson,144.5335793,-37.98195711,22750
100,"Dandenong-Frankston Road at the intersection of Dandenong-Frankston Road and Skye Road, Frankston",Frankston,145.1341809,-38.12849403,22170
101,"Doncaster Road at the intersection of Doncaster Road and Gardenia Road, Balwyn North",Balwyn North,145.0995469,-37.78989583,21110
102,"Gilbert Road at the intersection of Gilbert Road and Bell Street, Preston",Preston,144.9892786,-37.74361573,21890
103,"Warrigal Road at the intersection of Warrigal Road and North Road, Oakleigh",Oakleigh,145.0850201,-37.90932729,24970
104,"Maroondah Highway, approximately 100 metres West of Hutchinson Street, Lilydale",Lilydale,145.34706,-37.756875,27450
105,"Centre Road at the intersection of Centre Road and Buckland Street, Clayton",Clayton,145.1316664,-37.93009188,24970
106,"Princes Highway at the intersection of Princes Highway and Webb Street, Narre Warren",Narre Warren,145.3052482,-38.02542024,21610
107,"Exhibition Street at the intersection of Exhibition Street and Victoria Street, Melbourne",Melbourne,144.9687597,-37.80744657,24600
108,"LaTrobe Street at the intersection of LaTrobe Street and Spencer Street, West Melbourne",West Melbourne,144.951031,-37.813194,24600
109,"Flemington Road at the intersection of Flemington Road and Gatehouse Street, Parkville",Parkville,144.9511161,-37.79638485,24600
110,"Burwood Highway at the intersection of Burwood Highway and Brenock Park Drive, Ferntree Gully",Ferntree Gully,145.2948815,-37.88872406,23670
111,"Bell Street at the intersection of Bell Street and St Georges Road, Preston",Preston,144.9973574,-37.74453198,21890
112,"Dandenong Road at the intersection of Dandenong Road and Clayton Road, Oakleigh East",Oakleigh East,145.1221325,-37.91115991,24970
113,"Burke Road at the intersection of Burke Road and Old Burke Road, Kew East",Kew East,145.064898,-37.787505,21110
114,"King Street at the intersection of King Street and Hawke Street, West Melbourne",West Melbourne,144.9487934,-37.80563256,24600
115,"Springvale Road at the intersection of Springvale Road and Lower Dandenong Road, Braeside",Braeside,145.1442277,-37.99105364,23430
116,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Mount Waverley",Mount Waverley,145.1455106,-37.88668977,24970
117,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Greensborough",Greensborough,145.089865,-37.703029,20660
118,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Watsonia",Watsonia,145.089557,-37.703365,20660
119,"High Street Road at the intersection of High Street Road and Stud Road, Wantirna South",Wantirna South,145.2326891,-37.87691976,23670
120,"City Road at the intersection of City Road and Montague Street, South Melbourne",South Melbourne,144.9518484,-37.83282323,25900
121,"Centre Road at the intersection of Centre Road and Springs Road, Clayton South",Clayton South,145.1100424,-37.92747481,23430
122,"Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield",Caulfield,145.0164092,-37.87920202,22310
123,"Hallam Road at the intersection of Hallam Road and Fordholm Road, Hampton Park",Hampton Park,145.2671233,-38.03580112,21610
124,"Munro Street at the intersection of Munro Street and Sydney Road, Coburg",Coburg,144.9658066,-37.74494875,25250
125,"Hume Freeway, Northbound 65m south of O'Herns Road, Epping",Hume Freeway Epping,144.9932832,-37.63438871,27070
126,"Fifteenth Street at the intersection of Fifteenth Street and San Mateo Avenue, Mildura",Mildura,142.1413064,-34.21081288,24780
127,"Hume Freeway, Northbound 66m south of Amaroo Road, Craigieburn",Hume Freeway Craigieburn,144.9439949,-37.58415474,23270
128,"Hume Freeway, Northbound Station Street, Wallan East",Hume Freeway Wallan East,145.0056696,-37.41028086,24850
129,"South Gippsland Highway at the intersection of South Gippsland Highway and Lynbrook Boulevard, Lynbrook",Lynbrook,145.2575076,-38.05064259,21610
130,"Sydney Road at the intersection of Sydney Road and Mahoneys Road, Campbellfield",Campbellfield,144.9581409,-37.68937944,23270
131,"Gladstone Road at the intersection of Gladstone Road and Heatherton Road, Dandenong North",Dandenong North,145.2051026,-37.96876164,22670
132,"Victoria Street at the intersection of Victoria Street and Doncaster Road, Doncaster",Doncaster,145.1438382,-37.78681379,24210
133,"Alexandra Parade at the intersection of Alexandra Parade and George Street, Fitzroy North",Fitzroy North,144.9826039,-37.79344828,27350
134,"Geelong Road at the intersection of Geelong Road and Droop Street, Footscray",Footscray,144.8967826,-37.79650672,24330
135,"St Kilda Road at the intersection of St Kilda Road and Union Street, Melbourne",Melbourne,144.9818596,-37.85318267,25900
136,"Shannon Avenue at the intersection of Shannon Avenue and Noble Street, Newtown",Newtown,144.334192,-38.15251446,22750
137,"Cemetery Road West at the intersection of Cemetery Road West and Royal Parade, Parkville",Parkville,144.9590233,-37.78995412,24600
138,"Royal Parade at the intersection of Royal Parade and Gatehouse Street, Parkville",Parkville,144.9583635,-37.79270749,24600
139,"Wyndham Street at the intersection of Wyndham Street and High Street, Shepparton",Shepparton,145.3992194,-36.38117516,22830
140,"Latrobe Terrace at the intersection of Latrobe Terrace and Fyans Street, South Geelong",South Geelong,144.3502986,-38.16028225,22750
141,"High Street at the intersection of High Street and Verene Avenue, Templestowe Lower",Templestowe Lower,145.1184028,-37.76805596,24210
142,"At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren North",Narre Warren North,145.312807,-37.996561,21610
